pli-tv-bu-vb-np1	yes|not-applicable|not-applicable
pli-tv-bu-vb-np10	yes|not-applicable|not-applicable
pli-tv-bu-vb-np11	yes|not-applicable|not-applicable
pli-tv-bu-vb-np12	yes|not-applicable|not-applicable
pli-tv-bu-vb-np13	yes|not-applicable|not-applicable
pli-tv-bu-vb-np14	yes|not-applicable|not-applicable
pli-tv-bu-vb-np15	yes|not-applicable|not-applicable
pli-tv-bu-vb-np16	yes|not-applicable|not-applicable
pli-tv-bu-vb-np17	yes|not-applicable|not-applicable
pli-tv-bu-vb-np18	yes|not-applicable|not-applicable
pli-tv-bu-vb-np19	yes|not-applicable|not-applicable
pli-tv-bu-vb-np2	yes|not-applicable|not-applicable
pli-tv-bu-vb-np20	yes|not-applicable|not-applicable
pli-tv-bu-vb-np21	yes|not-applicable|not-applicable
pli-tv-bu-vb-np22	yes|not-applicable|not-applicable
pli-tv-bu-vb-np23	yes|not-applicable|not-applicable
pli-tv-bu-vb-np24	yes|not-applicable|not-applicable
pli-tv-bu-vb-np25	yes|not-applicable|not-applicable
pli-tv-bu-vb-np26	yes|not-applicable|not-applicable
pli-tv-bu-vb-np27	yes|not-applicable|not-applicable
pli-tv-bu-vb-np28	yes|not-applicable|not-applicable
pli-tv-bu-vb-np29	yes|not-applicable|not-applicable
pli-tv-bu-vb-np3	yes|not-applicable|not-applicable
pli-tv-bu-vb-np30	yes|not-applicable|not-applicable
pli-tv-bu-vb-np4	yes|not-applicable|not-applicable
pli-tv-bu-vb-np5	yes|not-applicable|not-applicable
pli-tv-bu-vb-np6	yes|not-applicable|not-applicable
pli-tv-bu-vb-np7	yes|not-applicable|not-applicable
pli-tv-bu-vb-np8	yes|not-applicable|not-applicable
pli-tv-bu-vb-np9	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc1	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc10	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc11	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc12	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc13	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc14	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc15	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc16	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc17	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc18	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc19	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc2	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc20	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc21	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc22	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc23	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc24	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc25	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc26	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc27	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc28	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc29	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc3	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc30	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc31	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc32	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc33	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc34	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc35	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc36	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc37	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc38	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc39	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc4	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc40	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc41	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc42	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc43	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc44	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc45	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc46	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc47	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc48	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc49	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc5	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc50	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc51	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc52	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc53	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc54	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc55	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc56	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc57	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc58	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc59	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc6	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc60	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc61	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc62	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc63	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc64	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc65	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc66	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc67	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc68	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc69	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc7	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc70	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc71	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc72	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc73	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc74	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc75	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc76	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc77	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc78	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc79	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc8	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc80	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc81	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc82	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc83	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc84	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc85	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc86	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc87	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc88	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc89	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc9	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc90	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc91	yes|not-applicable|not-applicable
pli-tv-bu-vb-pc92	yes|not-applicable|not-applicable
pli-tv-bu-vb-pd1	yes|not-applicable|not-applicable
pli-tv-bu-vb-pd2	yes|not-applicable|not-applicable
pli-tv-bu-vb-pd3	yes|not-applicable|not-applicable
pli-tv-bu-vb-pd4	yes|not-applicable|not-applicable
pli-tv-bu-vb-pj1	yes|not-applicable|not-applicable
pli-tv-bu-vb-pj2	yes|not-applicable|not-applicable
pli-tv-bu-vb-pj3	yes|not-applicable|not-applicable
pli-tv-bu-vb-pj4	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk1	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk10	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk11	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk12	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk13	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk14	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk15	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk16	yes|not-applicable|not-applicable
pli-tv-bu-vb-sk17	yes|not-applicable|not-applicable
